|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	10	 ||	909	 ||	    2   	   ||	         1  		||    0.22%	 ||    0.78%	     ||    0	     ||    2	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	323	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	672	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	237	 ||	    108   	   ||	         30  		||    45.57%	 ||    90.91%	     ||    61	     ||    47	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	999	 ||	    1   	   ||	         1  		||    0.10%	 ||    0.70%	     ||    0	     ||    1	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	894	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	1359	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	1289	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	903	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	1873	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
|	10	 ||	220	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   65000000	    ||	80000000
